date,pm10,pm25,co,no2,so2,o3,aqi
2024-03-16,72.33333333333333,44.57916666666667,353.125,9.129166666666666,20.0125,112.20833333333333,63.625
2024-03-17,83.13333333333334,50.28333333333333,344.3333333333333,8.129166666666666,22.0625,118.79166666666667,80.58333333333333
2024-03-18,77.75416666666666,48.01666666666667,316.2083333333333,6.620833333333334,17.7375,121.5,78.95833333333333
2024-03-19,90.12083333333334,57.20416666666667,363.5,8.183333333333334,23.183333333333334,112.33333333333333,82.29166666666667
2024-03-20,52.0875,32.895833333333336,345.25,10.870833333333332,20.150000000000002,100.875,78.04166666666667
2024-03-21,45.975,29.508333333333336,407.7916666666667,11.258333333333333,17.55,109.45833333333333,65.95833333333333
2024-03-22,42.6,26.78333333333333,413.2916666666667,12.516666666666666,20.145833333333332,108.625,65.91666666666667
2024-03-23,41.729166666666664,26.129166666666666,438.0,14.375,20.32916666666667,105.04166666666667,63.25
2024-03-24,50.21666666666667,32.53333333333333,501.75,15.366666666666667,22.7375,105.91666666666667,64.79166666666667
2024-03-25,47.387499999999996,29.745833333333334,359.2083333333333,8.220833333333333,13.966666666666667,103.375,67.29166666666667
2024-03-26,50.50416666666666,31.462500000000002,403.9583333333333,10.025,16.0625,106.95833333333333,64.70833333333333
2024-03-27,57.94166666666666,36.36666666666667,431.75,11.129166666666668,18.370833333333334,106.91666666666667,66.66666666666667
2024-03-28,55.27916666666667,34.3125,390.875,8.908333333333333,14.475,111.58333333333333,69.54166666666667
2024-03-29,68.84583333333333,41.666666666666664,407.6666666666667,9.549999999999999,16.808333333333334,116.875,69.83333333333333
2024-03-30,81.7625,49.229166666666664,364.25,8.9625,17.470833333333335,117.29166666666667,75.58333333333333
2024-03-31,97.47500000000001,59.54583333333333,438.4166666666667,11.549999999999999,19.712500000000002,114.79166666666667,84.375
2024-04-01,49.30416666666667,30.287499999999998,318.4166666666667,7.6499999999999995,14.058333333333332,110.08333333333333,77.41666666666667
2024-04-02,36.958333333333336,22.933333333333334,275.0,6.9375,13.275,111.375,61.291666666666664
2024-04-03,55.5625,34.425000000000004,446.125,17.195833333333333,21.954166666666666,91.95833333333333,59.25
2024-04-04,35.4625,21.8125,273.0416666666667,6.983333333333333,12.825000000000001,111.54166666666667,65.0
